A1,A2,A3,Q1,Q2,Q3,Q4
1,1,0,-0.3654011415906578,2.842975748248017,-2.314196419370968,-1.7420759814894944
1,1,1,-2.431922014479441,0.4798141472149863,0.6936723432566614,-0.7524455976967092
1,0,1,3.227923190275793,1.8176785262554436,-0.05333832816188262,-3.701141953306986
0,0,0,-2.7406884724737646,0.1560401141162625,0.6959692294274719,-2.5075624573932376
0,1,0,3.8548554591108295,2.953624455200453,-5.1725412060614335,-6.151003721560885
1,0,1,-0.6890225696212178,1.4270072591025424,-1.37249455273863,3.060743416510354
0,1,1,1.0960025639736772,2.3300583175496796,-2.2944767198557097,3.9533726400287987
1,0,1,-3.5992901537941333,0.07858077580438261,-6.472048397041626,2.8114446775934905
0,0,0,3.464510236297134,1.044454099329252,6.395929469672694,4.252753464361578
0,0,1,3.761389310821846,1.326410052340699,4.521632385727947,-5.861080054200356
0,0,0,2.7330971833837365,2.753529618969357,0.9201352698892031,1.121659678653633
1,1,0,1.4522361281158356,0.031230615919969784,5.230370033431252,0.9061274800647808
1,0,1,0.4448922578969856,1.2844023923373127,-1.5271085541124234,0.5673957014204989
0,0,1,0.2452024461747936,2.3012581423328906,6.864796401044283,-1.6339625236565594
1,1,0,-3.947189172366768,0.4667138509112505,4.509655122843287,-1.2066374092404164
1,1,0,2.748405098985362,0.39712848926389854,-2.7597043863208475,1.5315392893222404
1,0,1,-2.4308526287854715,1.5406285207115245,-2.0635088587628316,3.72152191368986
1,1,0,5.336012885318413,0.5195542057440544,0.8844939068590404,0.4995179556223844
0,1,0,5.03953589709338,2.7885945416771483,-7.744554775201443,-1.25480786840815
1,0,0,3.81063194674346,0.40743231355538223,0.8295195301797094,-4.254519239439817
0,1,0,-1.4639518306324852,0.17182158682905968,-0.555897647766666,-0.7237755705565666
0,1,1,-1.9352596384286214,0.9852366855628683,3.564673961932736,-0.8491061894988599
1,1,1,-2.86327120454213,0.6145818934447511,4.83612383978053,1.3060379100058794
1,1,1,1.6647359301442364,0.4469211800478583,3.714565622567587,1.5738125498650923
1,1,0,2.524630404446541,2.7847959745555704,2.1200508015319883,-1.3411922063879536
0,0,0,4.466134801512086,2.7892971618315103,4.284409141016472,0.7681270409638559
0,0,1,-3.954998756487285,0.7239559252827733,-4.350312544441293,-1.9302853163768439
0,1,1,1.5300855695780327,1.7863461294150347,0.52671894658874,0.6547688902198984
0,0,0,-3.892425914840131,0.5835306284862529,-2.342073786183929,3.472583828953498
0,1,0,3.5805867227351325,1.5660815330993767,-3.8394833763880456,-4.008464433000641
1,0,1,-1.1969974630734148,2.3512197187022,2.4752216075313624,-1.7979457525814007
1,0,1,-1.8646206049063498,1.261878161570181,-1.9572325351599806,-6.401779710153495
1,1,1,2.0374355377654023,1.6485065344488044,-0.5201123756762889,-1.1166804206637226
1,0,1,-3.774371337307362,0.7800167074871461,-3.348493975877576,-2.9330170248411083
0,1,1,-2.4038389461866743,1.8481173663998374,5.921065885656441,0.5186840324272918
1,0,0,0.2161762734903412,2.3160712502080627,2.075553470554713,-0.635062826264567
0,0,0,3.1821144614183083,1.8089033656095863,4.8115176318744295,0.7814727873796894
1,1,1,2.8282539898849173,0.854466545018214,-0.19413837728832933,-6.797013031740024
0,0,1,3.2048007347927285,0.967666121525811,0.7822868521765391,1.7071374584766725
1,1,0,-3.5556632385877203,0.4643246800103602,0.5961436116041073,-1.994867225784424
1,0,0,1.294008463718097,1.358585803620568,-1.8027183116274075,-0.7044644298313816
1,1,0,4.500566543573069,1.155940525592173,-2.910888392115537,-0.2387831370435322
0,0,0,0.1396401486199576,2.07894472583359,2.188431164617276,1.1556450341993278
0,1,0,-5.935631593912101,2.859238442083988,-2.614463950948401,2.934644363276718
1,0,1,-3.018244502497458,0.7815794917363712,-2.1985873710807646,5.828889134160208
1,0,1,-0.21349407368925175,0.7300532265547746,-0.5458343160342236,-0.4070631010456214
1,0,1,3.1269675812118596,2.312223538066594,0.9384139655182361,1.3078276339769275
0,0,1,4.594609544730257,1.092182769879562,2.3731774464289805,-0.2156840526905788
