R,A1,A2,A3,Q1,Q2,Q3,Q4
0.5068045741881628,0,1,0,-2.412509893681047,2.1599318107662664,-2.4915307254748242,-7.106675600188631
0.6772305823529491,0,0,1,1.1508634789353112,1.7331907544733212,-1.8712454361273037,-4.198154107348037
0.34367908149739274,1,1,0,-0.15830091335845203,1.1230158991574875,1.941711667945742,-0.3253825950563144
0.5938424816540891,1,1,0,-7.437037521337914,0.6817281795209059,-2.1231534069084175,-0.15420391024113336
0.5922232536957389,1,1,1,0.0776323646197679,2.2301749478366326,0.6954701688147762,2.978355756811742
0.46655866243073985,0,0,0,-1.5945966643899854,2.2126730364728684,3.272246459058616,2.3480311079695375
0.49962939687105923,1,0,1,-5.251944670586639,1.2344410379248756,-2.629387783784392,-1.6829861351752862
0.6850787855550217,0,0,0,-4.679245725022331,2.1245164060156867,2.9966382860812146,1.2956431043973355
0.40767446531512225,0,1,1,-2.0589739929678723,1.4019946038588418,0.1315188038541304,-0.9299323068060469
0.5487067362749031,0,0,0,6.540574192104733,2.2002386556845246,-2.110823556554205,-1.7383810064066416
0.5225346592637835,1,1,1,-4.455932969620877,0.03830593371828084,-1.163117113639745,2.236110702794785
0.3328295989915409,0,1,0,3.4666296842575632,0.17856903333575047,2.6007318396490073,2.0491314920875974
0.5272042566149676,1,1,0,3.0720877966913847,2.1123956394154515,3.69031040882546,2.0097889389933714
0.3382667604617445,0,0,0,5.358775721834232,2.551287559891755,0.9699571201155236,4.179674921729645
0.4900144912311561,1,1,1,1.1244388392859124,2.4453618234427905,1.591694771037806,0.787469146747271
0.5025607695152188,1,1,0,3.6144599061440656,0.28671051630124456,-2.464009236481445,2.4038288195849438
0.4937653501993428,1,1,0,-2.5045384099095633,1.0795500750212783,-1.8549392131148146,3.340814343266543
0.5161345276063216,1,0,1,2.8860446147202836,2.2326150098761723,-2.940184059244392,4.143030851577844
0.7446312971193031,1,1,0,-4.6278247811319355,1.2074313270969608,2.20730719231541,2.6588121426984994
0.5364897777298865,1,1,1,-2.441050668207449,2.0645528690010124,1.5351511553454875,-3.535364016932582
0.4508449898291949,0,0,1,0.005100521848026913,2.6716612903048236,3.8711024578261872,0.049274654232699625
0.5540828320463489,1,0,0,-1.28943712870536,0.24504858098029625,-1.4759968755033395,0.3962449978665637
0.7524159582056158,1,0,1,-0.847126064626498,1.2446545377396894,4.590058870016238,1.9540424818783166
0.4438098099380714,1,0,0,1.3986965204253534,1.9172207783675423,-2.4602666716522075,1.1731961093906058
0.4090304894314087,1,1,0,-0.09874451680008572,2.2774075024261227,2.2087639805126984,2.721424299011074
0.6338822767840996,0,0,1,-3.997136571078339,0.7722163280204536,0.6779452315310313,-4.569204614111359
0.7086451549761958,1,0,1,4.8071157555497805,1.8182382704545579,0.7338234020167933,0.08977674886154616
0.19016052235477418,1,0,1,1.02582708769372,0.0796049463936156,-2.26313404935354,-3.236677068801473
0.5442186156318528,0,0,1,2.1633223519664506,2.234665671285787,1.262948289634535,-7.692570314937752
0.3071631573018642,0,0,0,-3.520776479140225,0.5868071791455537,6.961634473794868,-1.565371587308101
0.21739912128632685,0,0,1,1.0356250925269355,1.8057691361991959,-1.6850174489543535,-0.8656421783912213
